TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value
448,9.9039,103.8586,9.9039,0.1898,188.8337,0.1569
449,19.0816,254.9273,19.0816,0.2676,283.2526,0.085
450,12.0829,0.0,12.0829,0.0728,321.0227,0.3963
451,0.3826,149.2036,0.3826,0.0001,358.0897,0.979
452,-4.9232,0.0,-4.9232,0.0223,346.4654,0.6434
453,20.6002,245.4857,20.6002,0.4079,273.8109,0.0254
454,28.867,397.8783,28.867,0.4374,397.8784,0.0192
455,10.2339,37.7663,10.2339,0.0976,311.5725,0.3229
456,13.4249,19.8939,13.4249,0.1883,387.9313,0.1587
457,1.0781,29.8399,1.0781,0.0032,179.0396,0.861
458,22.6763,59.6799,22.6763,0.2826,377.9728,0.3566
459,-2.2425,0.0,-2.2425,0.0048,318.2929,0.9305
460,8.4314,37.8258,8.4314,0.0443,434.9968,0.5113
461,-2.6779,99.4665,-2.6779,0.0025,507.2794,0.8771
462,-6.121,69.6266,-6.121,0.0147,477.4392,0.7075
463,16.1024,537.1189,16.1024,0.0954,537.1189,0.3286
464,9.0523,0.0,9.0523,0.1097,342.6572,0.2929
465,0.0,0.0,0.0,,0.0,
466,0.0,0.0,0.0,,0.0,
467,0.0,0.0,0.0,,0.0,
468,-4.8412,0.0,-4.8412,0.1082,170.1872,0.3232
469,-0.5619,255.2545,-0.5619,0.0003,283.6161,0.9583
470,6.9747,85.0843,6.9747,0.1282,236.3455,0.253
471,0.0,0.0,0.0,0.7343,0.0,0.0004
472,4.4293,66.1755,4.4293,0.1777,85.0828,0.1723
473,2.991,159.1464,2.991,0.004,417.7591,0.8449
474,7.255,56.7212,7.255,0.2345,56.7212,0.4085
475,-0.1043,9.9466,-0.1043,0.0001,149.1997,0.9773
476,8.0338,179.0395,8.0338,0.1124,208.8794,0.2868
477,4.3821,19.8933,4.3821,0.0852,129.3063,0.3572
478,25.1101,427.7056,25.1101,0.2886,447.5988,0.0717
479,47.6314,0.0,47.6314,0.2067,831.9127,0.1376
480,-8.0338,328.2378,-8.0338,0.0294,328.2378,0.5943
481,1.6196,0.0,1.6196,0.0027,302.5089,0.8726
482,17.4935,109.4124,17.4935,0.2991,268.558,0.0658
483,3.13,179.0385,3.13,0.015,179.0385,0.7047
484,8.7924,0.0,8.7924,0.1173,283.6039,0.2758
